query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url,elastic_results,semantic_results,merged_results,jaccard
juice healthy,2.0,1.0,3,4,https://www.coles.com.au/search?q=juice%20healthy,"['733824c9a2ad76f05e96cb13330a7db1', '1e90546c33538904780ea6a004fd6350', '127435db8a967d7b7eb8890c312a9992', '29c956099b71f4814249026c31cf146d', '26eb04f178cdbee48ef62c196698e2c5', 'f65a2513ba0bd825964eed3093f9c653', '7588715287e58e6d4d99335e66300010', '7e42fbff936ab482c25ca40d467d0f57', '101f8497bbf92cb54eabbdf0ddcd98d2', '8d8571275068c2d737e2dacb4570df5d', '6003ff6eb4b9125006fd89b0c3244142', 'ed7ce9dca17ee4d40bd4927d4ca2cec6', '912d2b1e0f4f84ccaf4ab3f0699a246a', 'a8d24c51dd184a9defc44a5bdb4348a3', '38ce8dd15abe79034bddf1326b4a6737', '416314bfa460c0a0a4d5fcb8c9f7c77f', 'c194e6c33c1e9fbe59950ab407c2b517', 'f59c5b4f43007af61c08a52c629765fe', '16f0acd6c4b1e8cc9021882a07de9b98', '39ac90c23dd39c2257e6e7a2e28b0dde']","['f10af6d5e4fc0dcb745762525872964d', '733824c9a2ad76f05e96cb13330a7db1', '1e90546c33538904780ea6a004fd6350', '127435db8a967d7b7eb8890c312a9992', 'ff88e924ce946df904196afa9eb1418e', 'd359fb114276f367a1f55dfe7e44954c', '0c9f27f20914cfb4132a98f2186be0da', '2811518d2df34b994e6d0d206af4a8de', '0783ff6912786b2515cf9043938c5193', '61d0ea67d9274597912e382748e8f08d', 'c21be51ca316d51d03a144f54e1a5623', 'c78a17f72b175f414af8ae08edd23048', 'eb3579acd14a6fdaa896a1ec442e7e8d', '0dccc28e639a7a4ae644ad9772e40c4b', 'b37defd4743b152e9233a7078448906c', 'b963c948875bf065668abdd49ff220f4', 'b4b741418168785e30e6c2de24d7144d', '1616fd7464da1c4e6b532a077ee3b719', '2de91d23d94706765d97e2811e16a273', '338d9cd26eabfdf0fc618ba380df5579']","['733824c9a2ad76f05e96cb13330a7db1', 'f10af6d5e4fc0dcb745762525872964d', '1e90546c33538904780ea6a004fd6350', '127435db8a967d7b7eb8890c312a9992', 'ff88e924ce946df904196afa9eb1418e', 'd359fb114276f367a1f55dfe7e44954c', '0c9f27f20914cfb4132a98f2186be0da', '2811518d2df34b994e6d0d206af4a8de', '0783ff6912786b2515cf9043938c5193', '61d0ea67d9274597912e382748e8f08d']",0.08108108108108109
poptarts,1.0,1.0,1,4,https://www.coles.com.au/search?q=poptarts,[],"['7cf7ce944df7dbc591140afb69080e24', 'bda1d0324bda909739ed232c7101895f', '774be6b8928edaf1f45549af1e74ff70', '0e2becee5b93e69fe717a4a96ccffa52', '76cf7bb802c23e61f527daa4bbf959dd', '6f182cc75685e0ea852a51effa10d9b0', 'e4f204b03c7cf5e7a115b15169238119', '789e5e558acb7e9052c51220648f6211', '403732dabc918b55272792b61fc93ecd', '31403a770af49f7425495ce43d2e6f91', 'cd8232d62575655eaa75e5a11e12dee2', 'ac9d42c33f746041aa1632a6fa3da217', '4d4115adcfc643d3e5dc5d13142480a8', 'c3107906130fdf04a9fb0eea72c6cc1b', '25f710035322a60d7a75c8866d017f65', 'fd2ccb25f1c9439d841e082f471710fd', '94bb28ee4eee6b9d55c634c5c6251261', '7fd3ca25399f67cce6f4ecbac1f3b4b4', '30edf2e6f2cd30ae60d3004aa047b1f7', 'a4f5c6c0d70690822607d677d2ff21de']","['7cf7ce944df7dbc591140afb69080e24', 'bda1d0324bda909739ed232c7101895f', '774be6b8928edaf1f45549af1e74ff70', '0e2becee5b93e69fe717a4a96ccffa52', '76cf7bb802c23e61f527daa4bbf959dd', '6f182cc75685e0ea852a51effa10d9b0', 'e4f204b03c7cf5e7a115b15169238119', '789e5e558acb7e9052c51220648f6211', '403732dabc918b55272792b61fc93ecd', '31403a770af49f7425495ce43d2e6f91']",0.0
icecream caramel,2.0,1.0,50,42,https://www.coles.com.au/search?q=icecream%20caramel,"['53cb1144eda012d945d93225a1dcbdc1', 'e53d8c55fabd9277b514d0b1202067ff', 'b9b102b17da3b3bb41d65cd9af9ccd7b', '8bffcd53b01e6a5ef6f2045082deb808', 'e6d91d0ee589d28252f1fe030725d1a4', 'ee61dfdc3b034a8b3f6562c3bb3f2638', '601e2f60fd8bd3ac55b0cb100d97b365', '74f62bf05fb65b0e0b7b7f620b4591e7', 'ec14d48002b8cc0194edd5e59f5ad99b', '1c7d67087ecde6fbac3a2a2b41199fba', '2e92f2d2e793a5b322e9881211fe64cd', '83c567f525cde1cd95e387414ce73d9c', 'f14f15d3053f427e4ee02dbdac10963c', '609e48305da6148f68a2a0a95c05fc63', '51edcd5a5c1e36037fa222d54fe52cc2', '134e81c53d997c2c6496edb1e289d336', '208b677b4761a805b816e88528cf299e', 'c2aef49e36e3c261c9918cec676f19f4', 'f72afadc8d64519af1f3235cc1b31dd3', '0b5d7de397f421f427c2da3aa4f3305d']","['28293373877ba89eceb99e634db66045', 'd54213a7195a0f63e18fc4417825cf44', '6ba5932ba8ee0ceaeea5f19f1714cf5a', '2e4e1fbaab854ac50b5f64c73ddca38b', 'ae88814f1ea16712728335ec3d23de2e', '8e609985a62ee4e9537ec70a8d66e2d4', '6e35a87bd3f203107247219b4332ee72', '2a28075a4571f6e030f49d1043663454', 'fa1d5630e20ac8acadf13367546aab8d', '8c59c70528e73100370a8938142e6654', '51edcd5a5c1e36037fa222d54fe52cc2', '609e48305da6148f68a2a0a95c05fc63', '5cd452f00c5e567631ee1f960867a36f', '62756a292764e7d712974671fcb20f2c', '052c7ce50ffb6cd6ede4667219289b59', '8d901565fbdcd3a5779ee1306e03acf8', '5102b5a1cebaa5555e2e16d28babbd14', '74f62bf05fb65b0e0b7b7f620b4591e7', '5bbd2a50e4a75399cb7f6398bccf8d89', 'f14f15d3053f427e4ee02dbdac10963c']","['53cb1144eda012d945d93225a1dcbdc1', '28293373877ba89eceb99e634db66045', 'd54213a7195a0f63e18fc4417825cf44', '6ba5932ba8ee0ceaeea5f19f1714cf5a', '2e4e1fbaab854ac50b5f64c73ddca38b', 'ae88814f1ea16712728335ec3d23de2e', '8e609985a62ee4e9537ec70a8d66e2d4', '6e35a87bd3f203107247219b4332ee72', '2a28075a4571f6e030f49d1043663454', 'fa1d5630e20ac8acadf13367546aab8d']",0.1111111111111111
sorbolene,1.0,1.0,4,0,https://www.coles.com.au/search?q=sorbolene,"['f97d9209bec7e67e71a3f7509560107a', 'd51418630dcc1f5b3d98d168945c34fe']","['f97d9209bec7e67e71a3f7509560107a', 'd51418630dcc1f5b3d98d168945c34fe', '68e31cc36b7d35364a3bc559ecb9ea88', 'e86557006188a5b56e6b1989ad40a5cd', '00c114efbcd18afb4db4d3e63da4463b', '82d7cb8f368587fff48a3108ee8fc260', 'adc80596bb14fe22cb608b8dee3058c6', '19d6de2d02db570e872159480ce69bb0', '85379a1ea57b6c4c5d113ff58f8297d0', '83c4b802d316ba8d835b62bf3639a330', 'aa2b10d75fd3058573d5929b457398fe', '6b3f774327d8b39218f6d38ba95e1338', '0bfba3b2742853d4afa4be6f7ae283ec', 'c458b30cafb43fff2dff7c9eae84d6d5', '20eac93009813a75dde3df43d2be651a', 'f891a5ae672f2174b668a2f58ad8e7f9', '65beec797aa25daefa8a843f2dee1c74', '71df5e4c2372e6ac9029caa7dbb46243', 'ad3c1374b75a0178e93cf2bc57202dc7', '89653555bbe0b7c5ebe815d470cb3396']","['f97d9209bec7e67e71a3f7509560107a', 'd51418630dcc1f5b3d98d168945c34fe', '68e31cc36b7d35364a3bc559ecb9ea88', 'e86557006188a5b56e6b1989ad40a5cd', '00c114efbcd18afb4db4d3e63da4463b', '82d7cb8f368587fff48a3108ee8fc260', 'adc80596bb14fe22cb608b8dee3058c6', '19d6de2d02db570e872159480ce69bb0', '85379a1ea57b6c4c5d113ff58f8297d0', '83c4b802d316ba8d835b62bf3639a330']",0.1
worcestershire sauce,2.0,1.0,5,6,https://www.coles.com.au/search?q=worcestershire%20sauce,"['f5ff304edcdcfc8c22a5c52a69ee8ace', '921425ecaa42da29fff0d93903faf0ea', '6b8b5682a2370713cfc755c4e3f7b133', '58ac1b6abfe2bb4e89a311fd1dab8611', 'cef367c3a4029667e72483d336c56506', 'a5b57da6d07c5104e8ee32f7a148a666', '17bf1afb01d73716cf2e580dc2b13d6f', '2c33e9ee17e368e7b1f62cb7d7982aaf', '31008b01f450fb5e2647e5b90126c1fb', 'f2af8c47e93cf54b6278b40fbf44547b', 'c8c42bfbf46a2ffd749c86828a58e78a', '8531184a7484de27626f9a9a488b7f9c', 'f269bc617d3c54fe626b95ee3a3320a3', 'fd142c4b4a9ef2359f6f8d0fc64d803f', 'd8fa45fe36cb48c073ac5fe76299552b', '0789c4b8446a290cba66790661268411', '7fc563a9a384fef8fc8bf6a97c5499fa', '3576703768dbaf50f118f2d14f502de7', '138d06c24ff73bc6b9870ce1d582b981', '294dfdf2759a5dd7048bf53dc70cae5a']","['f5ff304edcdcfc8c22a5c52a69ee8ace', '921425ecaa42da29fff0d93903faf0ea', 'f269bc617d3c54fe626b95ee3a3320a3', '003b47cab9a1381a27c96790331ebccd', '4ca223586287e3518f3096af3e5bffd4', '6b8b5682a2370713cfc755c4e3f7b133', 'ed7ed5dc8e8b62f77896dfdea65aed46', '8531184a7484de27626f9a9a488b7f9c', '115685f7bf3c9bf2eb76233982f6e0f0', 'a72d9fc5675f6bb7b6f8fe5228c2ab6e', 'b6ea4169990c3e5efa548b3463afbc88', 'a447148c69b88d98915b3b41fc4ffe73', 'e4132d741e6625edba52633f278a43b2', 'ab47f76e423983cfde83d460fb9ce526', '2eef6cc286d958576833e757cafd1d0e', 'ed0e532a9ada8bf2ec959638cd0976e2', '56ed9c84efab8617d20aaeafdb0ea4ff', '1f89203422ed70597fbc46a906402aed', '5aec66f52ae728789aea8cf5cca0f014', '1398b3127b70c6ea7163d6e87b65c2a4']","['f5ff304edcdcfc8c22a5c52a69ee8ace', '921425ecaa42da29fff0d93903faf0ea', 'f269bc617d3c54fe626b95ee3a3320a3', '003b47cab9a1381a27c96790331ebccd', '4ca223586287e3518f3096af3e5bffd4', '6b8b5682a2370713cfc755c4e3f7b133', 'ed7ed5dc8e8b62f77896dfdea65aed46', '8531184a7484de27626f9a9a488b7f9c', '115685f7bf3c9bf2eb76233982f6e0f0', 'a72d9fc5675f6bb7b6f8fe5228c2ab6e']",0.14285714285714285
loreal plum,2.0,1.0,2,1,https://www.coles.com.au/search?q=loreal%20plum,"['490282b7083f97115d41bf3f177b656d', 'aa936d80d1b78c94e58109a2fc226b9e', '562eeee696daa2139c7eff6d1acf47a9', 'ee9d0c47f172d90c92c310db1534d6db', 'e56309fc5e636393ecafa557896e757e', 'd7a5fcad480151878544541390a289e8', '32dc7b221968a07ffaf1b9ae33241f5b', 'aed25a902bc110ec793d98acca1e5e4f', 'e076ff80bfaaf9b32e682b234b3fc819', '709132720704fcda4faf2867642a87ad', '7b38ebc10fd07a013dc293c540afcbcf', '99715ea79cbd80da7bf3e07c33c41453', 'a6a89ef488accf3e668538fb0ef46b51', 'f64e52fb1675f6cb6b6b907d7e8f7d43', '5cfd016af5d490a85891dc792831dbf2', 'd4b9ffa1dce9c4e458d46d02daa8b144', 'fe2a641d8950ed4d4f2b1cbfe3d4fa03', '1c71d91bb88626f48ae6df0aa945aae1', '0fe2988311e38f17ab48b8fd2b6ad623', '023b274495129222439805153c0dbf59']","['697775cb6c05c12821921242d1fa41d7', '3d0b56dfa974116921db51fe45aff754', '3fac261edd2bd3502db84d7c807a9018', '8111603cc30609b659aeb80c360ff1ad', 'e076ff80bfaaf9b32e682b234b3fc819', '853c4e32b1a8f7de2f8aba390b04772a', 'ecd252fe4db6cf78c3536dbb1d12ee1e', 'faa192198b15545784b5b2f3973c9810', '98a50da54828d1ecb834fd55b38be6f8', '5cfd016af5d490a85891dc792831dbf2', '86d151445e4e113e1936a5f2d3881995', 'a5b3f3554125a53ff521e32777539544', 'b3a44bb8a4860d5897cd743d97421691', '32dc7b221968a07ffaf1b9ae33241f5b', '3a8441423aefa8cee99b450807eb9336', '9c70ea77502684d8b38e6a51885ca9c0', '25fb89c94c8af51e87b322e5fb2b9e95', '874e5842bbe92d8e9970b2088895498e', 'bb588bb12a6b29444ca532b3fa7b451b', 'c5b770f16223c6a0778c3129c0ceedd1']","['490282b7083f97115d41bf3f177b656d', '697775cb6c05c12821921242d1fa41d7', '3d0b56dfa974116921db51fe45aff754', '3fac261edd2bd3502db84d7c807a9018', '8111603cc30609b659aeb80c360ff1ad', 'e076ff80bfaaf9b32e682b234b3fc819', '853c4e32b1a8f7de2f8aba390b04772a', 'ecd252fe4db6cf78c3536dbb1d12ee1e', 'faa192198b15545784b5b2f3973c9810', '98a50da54828d1ecb834fd55b38be6f8']",0.08108108108108109
onion shallot,2.0,1.0,1,15,https://www.coles.com.au/search?q=onion%20shallot,"['aca460799129491f305ed090b5c81ec7', '24375235a533dea1325eb14602638b03', '46d332c6b4de30c88d0d2fffb2333ff4', '407dcb716c468de7b69d87a8e520e54e', '12c5baad2a182bf96dae9d6197eadc6f', 'a5af704034ac8bffcb7bf2e7617aacd3', 'd8246218a32d827d102d303484f28fe5', '8f938918451d1884f98407374d921ce9', '7ed6f7de7494838690e4215563e3d5fc', 'de44bd1a76077693435261495c11d573', 'af3741a6f8eb54f929009bf2712df8f1', '11a4473dd7e4b06de536389a710f5b53', 'dde95a1c3556076e8665ba97190dc6e3', '9beae409280eb4c93a0b273cc6a788a0', '115ec74d21a3452eda4495936afbbc34', 'af9e31b09113c18462bfb57a5b63cabe', '3766b66858d9facd721b28c046a8050f', '7a0ef7084c8dccdb13d709b6a082807d', 'a7f3a691e744062c3ea72f293f12f1dd', '86496671d6f8b513d2dd295e4f90b243']","['bdbc6c1cc490501823e10e5f64172a57', '442a9f353fc0b30d3ce9772735262f0c', '26d3fc8868500cead5191005c6426987', '7a0ef7084c8dccdb13d709b6a082807d', 'cbe668b52fd5916fdd4dfe24aab0b968', 'be2579a8999d855aa99ee1fee6bc03df', '59830db7b2cb76660f292d9158a3de4b', '46d332c6b4de30c88d0d2fffb2333ff4', '24375235a533dea1325eb14602638b03', 'a5af704034ac8bffcb7bf2e7617aacd3', '94a21637411623a94640a19f61165a97', 'e5ba08cfe0704e4f8e68d444da1d6b49', 'd288011edb0f8cea9adbb0c8f57d3b57', '94650f28e0189b74066f580d165f7a26', 'd4a63a605dae5590894e2962158c5222', '05c839cf0716600ee9e5e15e66ff8ea7', '8ab3ff56d6283c43c8169144585cd058', '213607f2e5ed4cdf56ff31757fd445eb', 'da3323edcb7646935030f063a196f3db', '43db221c02250ad14f23d4bae45d25cd']","['aca460799129491f305ed090b5c81ec7', 'bdbc6c1cc490501823e10e5f64172a57', '442a9f353fc0b30d3ce9772735262f0c', '26d3fc8868500cead5191005c6426987', '7a0ef7084c8dccdb13d709b6a082807d', 'cbe668b52fd5916fdd4dfe24aab0b968', 'be2579a8999d855aa99ee1fee6bc03df', '59830db7b2cb76660f292d9158a3de4b', '46d332c6b4de30c88d0d2fffb2333ff4', '24375235a533dea1325eb14602638b03']",0.1111111111111111
parmeson cheese,2.0,1.0,22,46,https://www.coles.com.au/search?q=parmeson%20cheese,"['a35bd1bdcfd86ecb19faf5c0a48eb52d', '91b60b19277eee7ea94fcb1d3821e916', 'bec5c0eea45526ac2f315ac4a2b932b3', 'a90a2d420d870c7bd5f2b4e9cd6ca6dc', '65087f6d9d482afed7857097c7cae90c', '143383babbf1394cda85a4e0d542e5d6', 'c8e83360298d1333ab6a5c6703aed89d', '680d290dbb091cb38f9476ef5affe7b2', '6e789ecfcfc3369fbb1dfbfeb19c43a8', '57d18503f16bd83fe4490b8c706cff09', '81f2a80803c21693c8d13f0302308b29', 'ddcc439a7f7edbd8ff52bac59315ebe0', '41de1399dab0298c53645672f520d74a', 'e839412b4a5c58b69b22da6a4224bfb1', '4c640e9cafb3faa37b1366d889d217e7', '7b89c9425a5c7ee49bd30e0d2ecfff51', 'b2bb2941893f87b77b2bca11494622a9', '083ae3b6a8b920bba32c437bed685fbf', '0c11d9967905c43518172b1c414c4d28', '6a32c01af6da61809d08fff299dc942f']","['f1f4018f9831b8b97903c408b2dfb966', '04a0d5e35b5cd3a766294376ccca2842', '416db5d26cd98644a4308f7f8b44ad09', '5f1ab99e9d0a29a1a1dac3e430ca9579', '3281144ecedbabfdd3134a18c83180ef', '69f32957c969c50e2318151a0b187617', '6769f05176495a3660105345dab34381', '680d290dbb091cb38f9476ef5affe7b2', '3fefadd26aa1f6ec6bda2decc9575263', 'f1c6442d4aa382d8ce2d159406bd353e', 'af25f5bba2fc53d7e9f69a6cdfddc952', '6044ecf8f4566b5b476f1828506d594d', 'bc0dfc5fe4d6aaa7b174b03a0c344ffa', 'aab14bc41707c888a60852e2e3bf8e58', 'b9303ac4ecb1fafb5222236f7fa1ab39', '6877af6d2d969128379fce4bd10e6a05', 'f437eb19157e2bc4b147be4e37c76101', '7ef8f5179616670ad6ff7befa7edd259', '2fd6c6559418c73ccf6a242ea62b2046', '9caf7e5890a31906e4cd4e026af69757']","['a35bd1bdcfd86ecb19faf5c0a48eb52d', 'f1f4018f9831b8b97903c408b2dfb966', '04a0d5e35b5cd3a766294376ccca2842', '416db5d26cd98644a4308f7f8b44ad09', '5f1ab99e9d0a29a1a1dac3e430ca9579', '3281144ecedbabfdd3134a18c83180ef', '69f32957c969c50e2318151a0b187617', '6769f05176495a3660105345dab34381', '680d290dbb091cb38f9476ef5affe7b2', '3fefadd26aa1f6ec6bda2decc9575263']",0.02564102564102564
carrot coles,2.0,1.0,22,30,https://www.coles.com.au/search?q=carrot%20coles,"['16d43e04d6a821311ba14a1ebac3d3f3', '0be64964931d5784f136f413a7685c2f', '322e82b1e7b73b696b85299ae2a389fd', '5d346a152dea3d0af9222f7338571671', '28bd9350ba5d4b42cabf1be658b19495', '7d0bca31e56b492e721b3feffc9921ef', '58696d7fe70a9b5656b1998ec54be0c7', '8b58319b2886e948fa423b77042e3d2c', 'b3c417a1d67f3fe9fefc54a1497fea5c', '2dbd09ce393fe517257074d5b0bd65b6', 'fdcbdfb8c1f5ce47d5d49772a1dcf644', 'af603435c17de9439dbf712bf0b4f436', 'ab254f4f83e88c44aaa2aefed326091a', '90443ac5770a0c0764647ebd90fc29f2', 'f2c40e9776ee8c6813485bf4c2cea864', '3442014eeb3b2ada93003cdc73a792b7', 'b902e239f993063dc6a512a5c8374d18', '6ed8c9be0b9132a507cf113459b21c79', 'b2daf258f13d5bfca480c0a9179ef7c1', 'e3a483664d4be355509462b4f7310156']","['319ebbdbc011671510e6664ccb60d00a', '2044b9d873aa90a34d2f207b14efd8cc', '6d4dc15b4a77997a32db99b15b078528', 'a87df21af7ee381e5d0973a9fcb35e7b', 'be3ff843d4aaef7108f0dc46dd1d1acf', 'eaeb103078b87e49b7825e7d488cde84', '80f63f4d66932e3b27e785e8e9c64eaa', '75d60c17669a40d531de292ac6430a31', 'ff56e9c06492e68be5794287537d2567', '01160a306fdcf2f7cea2a18513f590d6', 'cbe668b52fd5916fdd4dfe24aab0b968', '8b58319b2886e948fa423b77042e3d2c', '41e83ef139e21eb6279701e575b23a9a', '8145962914ff713651c4705ddda0fb50', '1325952b58315318c1c341e2b6089bd0', '0be64964931d5784f136f413a7685c2f', 'e42a1024a737d98045d34affaafa66a8', '58696d7fe70a9b5656b1998ec54be0c7', '846fa21eae7574e1ee9c0792b8caa93c', '4b1fd1e497086fd34c600775adddda6a']","['16d43e04d6a821311ba14a1ebac3d3f3', '319ebbdbc011671510e6664ccb60d00a', '2044b9d873aa90a34d2f207b14efd8cc', '6d4dc15b4a77997a32db99b15b078528', 'a87df21af7ee381e5d0973a9fcb35e7b', 'be3ff843d4aaef7108f0dc46dd1d1acf', 'eaeb103078b87e49b7825e7d488cde84', '80f63f4d66932e3b27e785e8e9c64eaa', '75d60c17669a40d531de292ac6430a31', 'ff56e9c06492e68be5794287537d2567']",0.08108108108108109
cottee strawberry,2.0,1.0,1,1,https://www.coles.com.au/search?q=cottee%20strawberry,"['7fbad70cb1a7df1e34bb8d8594acca37', '347e726e47e21f0f94cac938bacf1376', 'ee14666089df4346e91b10edef4bfb25', '539d2a4402f0888371cd92472d8689db', '7ea9cd293dfa7ca597523128702dc93d', 'b27dda2c288c7d4dd0efce1d6a39c808', '4a4c43012fbdfeb8d422ab5c6f589f1c', 'f1535ddc84b802d06c91d1f190aa72a7', '1c06481a4717e44e39d38dc6f4d53448', '677b76a87c67e0d6e1212fa53aa6f3cc', '5a0db217e45768df4f3be2ed24538ceb', '99a031b6f361874c0e0ced511a052baf', 'a3b15e3009ed47995e9374df8762ad88', 'd7665f4d5b95fa035ae049d0eb6c9b77', '6068d991bb05502a375a58718fe5688f', '32886d36291004eead336ebfed7304f8', 'dd08ea0bf850ab2f4beea10ba97b8152', '069d6cbf0a1ec9a286961ca3bc663911', '5f238fc5980fc2d7cd6a4d8d20e56ec4', '50692de41ef3d0bf7e4b2bd1690c8510']","['7fbad70cb1a7df1e34bb8d8594acca37', '9772133007b66f35a465551e1562be3e', '20c6fc24b7a2fd2ce3c678fc79e2e2c3', '28c8a21fbd4da661b7148e61df3c2ae9', '774be6b8928edaf1f45549af1e74ff70', '967b4236d81c9a97d302e9716e6b53e8', '9bced1e4b5aff41a3313db98ccc2ebd0', 'd39734406fabc665aed5f0aea9a58903', '6baadfe8a1295795aad4e67d921e324f', 'f8c889380b4c9522014e64a2dfa78054', '9ff124bb53131208d0ed939b88d28e49', '695ab0931c28f931023962c24ee056ee', '6cab3f6e654522ff599caae58dbc22f7', '490282b7083f97115d41bf3f177b656d', '16ac4f915438053ae246e6dde30cd52e', '71bb1e8bdef47183348879a6e8721164', 'ae5a67609348efbe74400fd17cd9c658', '5a0db217e45768df4f3be2ed24538ceb', '21507c29d1627bd4b6cdd5aabc1ec1b7', '784dc2ea7eb54efcd9eff1372a4c1da5']","['7fbad70cb1a7df1e34bb8d8594acca37', '9772133007b66f35a465551e1562be3e', '20c6fc24b7a2fd2ce3c678fc79e2e2c3', '28c8a21fbd4da661b7148e61df3c2ae9', '774be6b8928edaf1f45549af1e74ff70', '967b4236d81c9a97d302e9716e6b53e8', '9bced1e4b5aff41a3313db98ccc2ebd0', 'd39734406fabc665aed5f0aea9a58903', '6baadfe8a1295795aad4e67d921e324f', 'f8c889380b4c9522014e64a2dfa78054']",0.05263157894736842
chili salami,2.0,1.0,2,1,https://www.coles.com.au/search?q=chili%20salami,"['82cc18c3cb852de478d494f6e116eb81', 'd855c51eb97c239c86a841b09aa97690', '1f65d3e6235d94ff82c3e1d1e8d798c3', 'cadfd69151aa7f7b89fa8557698cbe1d', '4a40e51b8336d1bf3c0e501d187f9807', '34b6c6e323916c3999d436fdda94a84a', '23cc4d46bcb23f51fec678d51983099c', '2708dc735515588a4e998a1b17ce6202', '8c8933b3f34ffb2a9fe0a333d824d06a', '2cad2dd4c082d7ab67a9896fcb4ce574', '5f35f935f175e16ae5787dfa8566c7c9', '8fafbe994ac815745957877c17e77f44', '14333d48a429513f05792091c83a616c', '2295656f5fb625a718864f68e89c89e1', '4a9ff7b0659c0fe8ec023bbb3e89e114', '965d81c418a8a8ad479a790db8b85c96', '7398d069f6ed733e9bb2a6eab0d3db0f', 'ab4d5c72f580b6be02b1810c6d271cef', '5f60f6ba9d1a7593e767314868017d83', 'f1271cdb537453b10052ae7c0debfca0']","['8b3ebcf3c1b4525a73ceaf6e31c45a0b', '1f65d3e6235d94ff82c3e1d1e8d798c3', '34b6c6e323916c3999d436fdda94a84a', '44665cc0dbd64fc095c1b2317b4a10b4', '1172fe6e450c9d111eee1e2b5c93c625', '1208b23efdcf271a9792124766c8c98f', '108e16e25841f590aec20da0fd83c65f', '4a9ff7b0659c0fe8ec023bbb3e89e114', 'ab4d5c72f580b6be02b1810c6d271cef', 'cadfd69151aa7f7b89fa8557698cbe1d', 'aa7a975deb15bfed242b998a3e454dc3', '2cad2dd4c082d7ab67a9896fcb4ce574', '69348d6ad9612daf1ae50929dd5c1504', '1370ba1193a2d88d3de138ce47775a42', '9af123a93e05384f63ac23ed39f4ffbb', '61aaefbdb3c6209baa4205b57eb330d7', '8fafbe994ac815745957877c17e77f44', 'eb9b857cd50cbf95be828f151365db84', '13274a9e7907872cf187a9ba9f2c9b48', '2295656f5fb625a718864f68e89c89e1']","['82cc18c3cb852de478d494f6e116eb81', '8b3ebcf3c1b4525a73ceaf6e31c45a0b', '1f65d3e6235d94ff82c3e1d1e8d798c3', '34b6c6e323916c3999d436fdda94a84a', '44665cc0dbd64fc095c1b2317b4a10b4', '1172fe6e450c9d111eee1e2b5c93c625', '1208b23efdcf271a9792124766c8c98f', '108e16e25841f590aec20da0fd83c65f', '4a9ff7b0659c0fe8ec023bbb3e89e114', 'ab4d5c72f580b6be02b1810c6d271cef']",0.25
soy crackers,2.0,1.0,6,8,https://www.coles.com.au/search?q=soy%20crackers,"['b3a217a5275f80946de33505438f4286', 'd8fa45fe36cb48c073ac5fe76299552b', 'e2c2d780557c9fd528e1572cda473054', 'c256f2819f39329faeab12bc14e95c68', '6cdade672a55a0c665350370364be6ae', '5655b58d3a633a0dd5e9cd54a468c2de', '5cb1c61d7cc310b52c6730f9d575e7a4', 'c6960b860bc653ff835f33b608bdbffe', 'c761cddcb3d0d234421026673a13bfbb', 'b2dbad7c372abb6b6fb1a41496b94bfa', 'b6509807006d40b2252517ab1ed196c2', 'a7482d5aa80a20668fe97878ddfbdfa3', '62aafd52ad59bdfa037279ef1d5858d4', 'c8adc0718c08a4b4955f4f238ee8e803', '361e5de7b324a8ffb16cea07e907f346', '575d4e1f5478490b17d1341a5446fc7e', '4b4f87ddf6f6829bcd696552ea070096', 'adc71e79e425d6315ca0b90ce3a871ac', '33fb63522d049d8a9fd5f4f2eb751089', 'bcee532ed6dcd8e04a790417315e2f51']","['af4f599984da2b5c23b3df4908cfb20f', 'b3a217a5275f80946de33505438f4286', '36524f9b12c370365576d37608c569a6', 'd5887423c4f25a543b00d1262789d37e', '5b1a7e83d4cb71611d5b13e16e23cd28', '8ddd152c16a9dd7ee9333298b06af6de', 'd1cc0152fde22de8b39693cc88f76fb8', '67234ec2a20749595287b814242e2898', '0382697697589a83118fdde8d69a926f', 'b185997e3ee90da6fcc4447b7ce25dc5', '148447ff0a9ddcf6607032c1197f667f', 'b2f4b3771905fc20b06aabe439bc2c3e', '63ea70e31bbf8cd6084dc67aa6ef9755', '0eeadfcfa0421cfa0847fe29fbfa308e', 'eed4e79b158ebe28cca80208e3db2293', '5cd2760b8f6fe99cb8f32e7bea3a2e8d', '2888991e1bfce2d44438679ec79a50bf', '14bd7e0efa9dd229a60dae5266c0a601', '75fc7233584f611a11c5b5dbc6e1e5db', '083ae3b6a8b920bba32c437bed685fbf']","['b3a217a5275f80946de33505438f4286', 'af4f599984da2b5c23b3df4908cfb20f', '36524f9b12c370365576d37608c569a6', 'd5887423c4f25a543b00d1262789d37e', '5b1a7e83d4cb71611d5b13e16e23cd28', '8ddd152c16a9dd7ee9333298b06af6de', 'd1cc0152fde22de8b39693cc88f76fb8', '67234ec2a20749595287b814242e2898', '0382697697589a83118fdde8d69a926f', 'b185997e3ee90da6fcc4447b7ce25dc5']",0.02564102564102564
